Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2005/06,Arsenal,45.0,Arsenal,22.0,67.0,1.763157894736842,4
2005/06,Aston Villa,24.0,Aston Villa,18.0,42.0,1.105263157894737,16
2005/06,Birmingham,23.0,Birmingham,11.0,34.0,0.8947368421052632,18
2005/06,Blackburn,42.0,Blackburn,21.0,63.0,1.6578947368421053,6
2005/06,Bolton,38.0,Bolton,18.0,56.0,1.4736842105263157,8
2005/06,Charlton,28.0,Charlton,19.0,47.0,1.236842105263158,13
2005/06,Chelsea,55.0,Chelsea,36.0,91.0,2.3947368421052633,1
2005/06,Everton,28.0,Everton,22.0,50.0,1.3157894736842106,11
2005/06,Fulham,41.0,Fulham,7.0,48.0,1.263157894736842,12
2005/06,Liverpool,48.0,Liverpool,34.0,82.0,2.1578947368421053,3
2005/06,Man City,29.0,Man City,14.0,43.0,1.131578947368421,15
2005/06,Man United,44.0,Man United,39.0,83.0,2.1842105263157894,2
2005/06,Middlesbrough,26.0,Middlesbrough,19.0,45.0,1.1842105263157894,14
2005/06,Newcastle,38.0,Newcastle,20.0,58.0,1.5263157894736843,7
2005/06,Portsmouth,22.0,Portsmouth,16.0,38.0,1.0,17
2005/06,Sunderland,7.0,Sunderland,8.0,15.0,0.39473684210526316,20
2005/06,Tottenham,41.0,Tottenham,24.0,65.0,1.7105263157894737,5
2005/06,West Brom,20.0,West Brom,10.0,30.0,0.7894736842105263,19
2005/06,West Ham,30.0,West Ham,25.0,55.0,1.4473684210526316,9
2005/06,Wigan,24.0,Wigan,27.0,51.0,1.3421052631578947,10
2006/07,Arsenal,42.0,Arsenal,26.0,68.0,1.7894736842105263,3
2006/07,Aston Villa,29.0,Aston Villa,21.0,50.0,1.3157894736842106,11
2006/07,Blackburn,30.0,Blackburn,22.0,52.0,1.368421052631579,10
2006/07,Bolton,32.0,Bolton,24.0,56.0,1.4736842105263157,7
2006/07,Charlton,26.0,Charlton,8.0,34.0,0.8947368421052632,19
2006/07,Chelsea,43.0,Chelsea,40.0,83.0,2.1842105263157894,2
2006/07,Everton,37.0,Everton,21.0,58.0,1.5263157894736843,6
2006/07,Fulham,28.0,Fulham,11.0,39.0,1.0263157894736843,16
2006/07,Liverpool,46.0,Liverpool,22.0,68.0,1.7894736842105263,3
2006/07,Man City,21.0,Man City,21.0,42.0,1.105263157894737,14
2006/07,Man United,47.0,Man United,42.0,89.0,2.3421052631578947,1
2006/07,Middlesbrough,33.0,Middlesbrough,13.0,46.0,1.2105263157894737,12
2006/07,Newcastle,28.0,Newcastle,15.0,43.0,1.131578947368421,13
2006/07,Portsmouth,38.0,Portsmouth,16.0,54.0,1.4210526315789473,9
2006/07,Reading,35.0,Reading,20.0,55.0,1.4473684210526316,8
2006/07,Sheffield United,27.0,Sheffield United,11.0,38.0,1.0,17
2006/07,Tottenham,39.0,Tottenham,21.0,60.0,1.5789473684210527,5
