idEvent,Season,strTimestamp,Round,HomeTeam,FullTimeHomeGoals,AwayTeam,FullTimeAwayGoals
2069556,2024/25,8/16/24 19:00,Round 1,Man United,1,Fulham,0
2069557,2024/25,8/17/24 11:30,Round 1,Ipswich,0,Liverpool,2
2069558,2024/25,8/17/24 14:00,Round 1,Arsenal,2,Wolves,0
2069559,2024/25,8/17/24 14:00,Round 1,Everton,0,Brighton,3
2069560,2024/25,8/17/24 14:00,Round 1,Newcastle,1,Southampton,0
2069561,2024/25,8/17/24 14:00,Round 1,Nott'm Forest,1,Bournemouth,1
2069562,2024/25,8/17/24 16:30,Round 1,West Ham,1,Aston Villa,2
2069563,2024/25,8/18/24 13:00,Round 1,Brentford,2,Crystal Palace,1
2069564,2024/25,8/18/24 15:30,Round 1,Chelsea,0,Man City,2
2069565,2024/25,8/19/24 19:00,Round 1,Leicester,1,Tottenham,1
2069566,2024/25,8/24/24 11:30,Round 2,Brighton,2,Man United,1
2069568,2024/25,8/24/24 14:00,Round 2,Tottenham,4,Everton,0
2069569,2024/25,8/24/24 14:00,Round 2,Southampton,0,Nott'm Forest,1
2069570,2024/25,8/24/24 14:00,Round 2,Man City,4,Ipswich,1
2069572,2024/25,8/24/24 14:00,Round 2,Fulham,2,Leicester,1
2069573,2024/25,8/24/24 14:00,Round 2,Crystal Palace,0,West Ham,2
2069574,2024/25,8/24/24 16:30,Round 2,Aston Villa,0,Arsenal,2
2069567,2024/25,8/25/24 13:00,Round 2,Wolves,2,Chelsea,6
2069575,2024/25,8/25/24 13:00,Round 2,Bournemouth,1,Newcastle,1
2069571,2024/25,8/25/24 15:30,Round 2,Liverpool,2,Brentford,0
2069583,2024/25,8/31/24 11:30,Round 3,Arsenal,1,Brighton,1
2069578,2024/25,8/31/24 14:00,Round 3,Nott'm Forest,1,Wolves,1
2069581,2024/25,8/31/24 14:00,Round 3,Ipswich,1,Fulham,1
2069582,2024/25,8/31/24 14:00,Round 3,Everton,2,Bournemouth,3
2069584,2024/25,8/31/24 14:00,Round 3,Brentford,3,Southampton,1
2069585,2024/25,8/31/24 14:00,Round 3,Leicester,1,Aston Villa,2
2069577,2024/25,8/31/24 16:30,Round 3,West Ham,1,Man City,3
2069576,2024/25,9/1/24 12:30,Round 3,Chelsea,1,Crystal Palace,1
2069579,2024/25,9/1/24 12:30,Round 3,Newcastle,2,Tottenham,1
2069580,2024/25,9/1/24 15:00,Round 3,Man United,0,Liverpool,3
2069589,2024/25,9/14/24 11:30,Round 4,Southampton,0,Man United,3
2069586,2024/25,9/14/24 14:00,Round 4,Liverpool,0,Nott'm Forest,1
2069590,2024/25,9/14/24 14:00,Round 4,Man City,2,Brentford,1
2069591,2024/25,9/14/24 14:00,Round 4,Fulham,1,West Ham,1
2069592,2024/25,9/14/24 14:00,Round 4,Crystal Palace,2,Leicester,2
2069593,2024/25,9/14/24 14:00,Round 4,Brighton,0,Ipswich,0
2069594,2024/25,9/14/24 16:30,Round 4,Aston Villa,3,Everton,2
2069595,2024/25,9/14/24 19:00,Round 4,Bournemouth,0,Chelsea,1
2069588,2024/25,9/15/24 13:00,Round 4,Tottenham,0,Arsenal,1
2069587,2024/25,9/15/24 15:30,Round 4,Wolves,1,Newcastle,2
2069597,2024/25,9/21/24 11:30,Round 5,West Ham,0,Chelsea,3
2069596,2024/25,9/21/24 14:00,Round 5,Aston Villa,3,Wolves,1
2069598,2024/25,9/21/24 14:00,Round 5,Tottenham,3,Brentford,1
2069599,2024/25,9/21/24 14:00,Round 5,Southampton,1,Ipswich,1
2069601,2024/25,9/21/24 14:00,Round 5,Leicester,1,Everton,1
2069602,2024/25,9/21/24 14:00,Round 5,Fulham,3,Newcastle,1
2069605,2024/25,9/21/24 14:00,Round 5,Liverpool,3,Bournemouth,0
2069603,2024/25,9/21/24 16:30,Round 5,Crystal Palace,0,Man United,0
2069604,2024/25,9/22/24 13:00,Round 5,Brighton,2,Nott'm Forest,2
2069600,2024/25,9/22/24 15:30,Round 5,Man City,2,Arsenal,2
2069609,2024/25,9/28/24 11:30,Round 6,Newcastle,1,Man City,1
2069608,2024/25,9/28/24 14:00,Round 6,Nott'm Forest,0,Fulham,1
2069611,2024/25,9/28/24 14:00,Round 6,Everton,2,Crystal Palace,1
2069612,2024/25,9/28/24 14:00,Round 6,Chelsea,4,Brighton,2
2069613,2024/25,9/28/24 14:00,Round 6,Brentford,1,West Ham,1
2069614,2024/25,9/28/24 14:00,Round 6,Arsenal,4,Leicester,2
2069607,2024/25,9/28/24 16:30,Round 6,Wolves,1,Liverpool,2
2069606,2024/25,9/29/24 13:00,Round 6,Ipswich,2,Aston Villa,2
2069610,2024/25,9/29/24 15:30,Round 6,Man United,0,Tottenham,3
2069615,2024/25,9/30/24 19:00,Round 6,Bournemouth,3,Southampton,1
2069621,2024/25,10/5/24 11:30,Round 7,Crystal Palace,0,Liverpool,1
2069616,2024/25,10/5/24 14:00,Round 7,Brentford,5,Wolves,3
2069617,2024/25,10/5/24 14:00,Round 7,West Ham,4,Ipswich,1
2069618,2024/25,10/5/24 14:00,Round 7,Man City,3,Fulham,2
2069619,2024/25,10/5/24 14:00,Round 7,Leicester,1,Bournemouth,0
2069625,2024/25,10/5/24 14:00,Round 7,Arsenal,3,Southampton,1
2069620,2024/25,10/5/24 16:30,Round 7,Everton,0,Newcastle,0
2069622,2024/25,10/6/24 13:00,Round 7,Chelsea,1,Nott'm Forest,1
2069624,2024/25,10/6/24 13:00,Round 7,Aston Villa,0,Man United,0
2069623,2024/25,10/6/24 15:30,Round 7,Brighton,3,Tottenham,2
2069634,2024/25,10/19/24 11:30,Round 8,Tottenham,4,West Ham,1
2069627,2024/25,10/19/24 14:00,Round 8,Fulham,1,Aston Villa,3
